token,schema_version,signal_id,branch,code,side,order_func,requested_value,requested_amount,available_cash_before,handler,time,order_returned,order_id,order_status,order_amount
intent_69,0.3,ZB|2023-03-23|600518.XSHG|ZB_PREPARED,ZB,600518.XSHG,buy,order_value,493541.15000000043,,493541.15000000043,buy_zb,2023-03-23 09:28,True,69,open,227400
intent_70,0.3,,,600556.XSHG,sell,order_target,,0.0,5528.7900000003865,sell_zb_slots,2023-03-24 11:30,True,70,filled,-55300
intent_71,0.3,,,600518.XSHG,sell,order_target,,0.0,514179.69000000047,sell_zb_slots,2023-03-24 11:30,True,71,filled,-227400
intent_72,0.3,Auction|2023-03-27|000070.XSHE|AUCTION_PREPARED,Auction,000070.XSHE,buy,order_value,302098.8570000001,,1006996.1900000004,buy_auction_yiqian,2023-03-27 09:26,True,72,open,29000
intent_73,0.3,ZB|2023-03-27|002995.XSHE|ZB_PREPARED,ZB,002995.XSHE,buy,order_value,235005.20666666678,,705015.6200000003,buy_zb,2023-03-27 09:28,True,73,open,7600
intent_74,0.3,ZB|2023-03-27|000021.XSHE|ZB_PREPARED,ZB,000021.XSHE,buy,order_value,235128.60500000016,,470257.2100000003,buy_zb,2023-03-27 09:28,True,74,open,15300
intent_75,0.3,ZB|2023-03-27|002518.XSHE|ZB_PREPARED,ZB,002518.XSHE,buy,order_value,235484.8000000003,,235484.8000000003,buy_zb,2023-03-27 09:28,True,75,open,5300
intent_76,0.3,,,002518.XSHE,sell,order_target,,0.0,-5980.619999999675,sell_zb_slots,2023-03-28 11:30,True,76,filled,-5300
intent_77,0.3,,,002995.XSHE,sell,order_target,,0.0,244330.5500000003,sell_zb_slots,2023-03-28 14:48,True,77,filled,-7600
intent_78,0.3,,,000021.XSHE,sell,order_target,,0.0,491768.4600000003,sell_zb_slots,2023-03-28 14:48,True,78,filled,-15300
intent_79,0.3,,,000070.XSHE,sell,order_target,,0.0,707523.6100000003,sell_auction_yiqian,2023-03-28 14:50,True,79,filled,-29000
intent_80,0.3,ZB|2023-03-29|600839.XSHG|ZB_PREPARED,ZB,600839.XSHG,buy,order_value,340105.48333333345,,1020316.4500000003,buy_zb,2023-03-29 09:28,True,80,open,79800
intent_81,0.3,ZB|2023-03-29|605168.XSHG|ZB_PREPARED,ZB,605168.XSHG,buy,order_value,340133.23500000016,,680266.4700000003,buy_zb,2023-03-29 09:28,True,81,open,2200
intent_82,0.3,ZB|2023-03-29|600346.XSHG|ZB_PREPARED,ZB,600346.XSHG,buy,order_value,342025.0300000003,,342025.0300000003,buy_zb,2023-03-29 09:28,True,82,open,19700
intent_83,0.3,,,605168.XSHG,sell,order_target,,0.0,-3708.6699999996345,sell_zb_slots,2023-03-30 11:30,True,83,filled,-2200
intent_84,0.3,,,600346.XSHG,sell,order_target,,0.0,324917.5600000004,sell_zb_slots,2023-03-30 11:30,True,84,filled,-19700
intent_85,0.3,ZB|2023-03-31|603918.XSHG|ZB_PREPARED,ZB,603918.XSHG,buy,order_value,320345.75500000024,,640691.5100000005,buy_zb,2023-03-31 09:28,True,85,open,21400
intent_86,0.3,ZB|2023-03-31|603888.XSHG|ZB_PREPARED,ZB,603888.XSHG,buy,order_value,321735.8500000005,,321735.8500000005,buy_zb,2023-03-31 09:28,True,86,open,12000
intent_87,0.3,,,600839.XSHG,sell,order_target,,0.0,4708.780000000494,sell_zb_slots,2023-03-31 11:30,True,87,filled,-79800
